mktrf,smb,hml,rf,dateff
0.0015,-0.0101,-0.0168,0.0043,1/30/1998
0.0703,0.0013,-0.0093,0.0039,2/27/1998
0.0476,-0.0119,0.0138,0.0039,3/31/1998
0.0074,0.0006,0.0103,0.0043,4/30/1998
-0.0307,-0.034,0.0341,0.004,5/29/1998
0.0319,-0.0317,-0.0203,0.0041,6/30/1998
-0.0242,-0.0483,-0.0183,0.004,7/31/1998
-0.1605,-0.0547,0.0357,0.0043,8/31/1998
0.0619,-0.0002,-0.0351,0.0046,9/30/1998
0.0698,-0.0298,-0.0233,0.0032,10/30/1998
0.0607,0.0126,-0.0324,0.0031,11/30/1998
0.0615,-0.0046,-0.0425,0.0038,12/31/1998
0.0348,0.0067,-0.0446,0.0035,1/29/1999
-0.0408,-0.0602,0.0195,0.0035,2/26/1999
0.0348,-0.0384,-0.0261,0.0043,3/31/1999
0.0434,0.0389,0.024,0.0037,4/30/1999
-0.0246,0.0332,0.0249,0.0034,5/28/1999
0.0477,0.0323,-0.0322,0.004,6/30/1999
-0.0349,0.0248,-0.0018,0.0038,7/30/1999
-0.0137,-0.0095,-0.0193,0.0039,8/31/1999
-0.0277,0.0312,-0.029,0.0039,9/30/1999
0.0609,-0.0694,-0.0288,0.0039,10/29/1999
0.0341,0.0687,-0.0565,0.0036,11/30/1999
0.0766,0.0656,-0.0766,0.0044,12/31/1999
-0.0474,0.0516,-0.0112,0.0041,1/31/2000
0.0246,0.2125,-0.0977,0.0043,2/29/2000
0.0521,-0.1741,0.085,0.0047,3/31/2000
-0.0639,-0.06,0.0645,0.0046,4/28/2000
-0.0439,-0.0608,0.0459,0.005,5/31/2000
0.0468,0.1271,-0.0804,0.004,6/30/2000
-0.0248,-0.0284,0.0806,0.0048,7/31/2000
0.0703,-0.005,-0.0137,0.005,8/31/2000
-0.0544,-0.0174,0.0724,0.0051,9/29/2000
-0.0278,-0.0385,0.0558,0.0056,10/31/2000
-0.107,-0.0308,0.1224,0.0051,11/30/2000
0.0118,0.0082,0.0755,0.005,12/29/2000
0.0325,0.0641,-0.0505,0.0054,1/31/2001
-0.1003,-0.0065,0.1223,0.0038,2/28/2001
-0.0725,0.0026,0.0647,0.0042,3/30/2001
0.0793,0.005,-0.0464,0.0039,4/30/2001
0.0068,0.0248,0.0338,0.0032,5/31/2001
-0.0194,0.0635,-0.0126,0.0028,6/29/2001
-0.0213,-0.0405,0.0495,0.003,7/31/2001
-0.064,0.0219,0.0286,0.0031,8/31/2001
-0.0924,-0.0623,0.0152,0.0028,9/28/2001
0.0248,0.0749,-0.0731,0.0022,10/31/2001
0.0753,-0.0057,0.0217,0.0017,11/30/2001
0.0161,0.0472,0.0083,0.0015,12/31/2001
-0.0144,0.0117,0.0342,0.0014,1/31/2002
-0.023,-0.0108,0.0234,0.0013,2/28/2002
0.0424,0.0409,0.0108,0.0013,3/28/2002
-0.0521,0.0582,0.0401,0.0015,4/30/2002
-0.0136,-0.0327,0.0152,0.0014,5/31/2002
-0.0723,0.0408,0.0037,0.0013,6/28/2002
-0.0819,-0.0525,-0.0351,0.0015,7/31/2002
0.005,-0.028,0.0301,0.0014,8/30/2002
-0.1034,0.0242,0.0126,0.0014,9/30/2002
