caldt,crsp_fundno,mtna,mret
1/30/1998,004516,1565.141,0.021766
2/27/1998,004516,1667.157,0.075379
3/31/1998,004516,1746.124,0.067048
4/30/1998,004516,1770.274,0.018565
5/29/1998,004516,1726.627,-0.01402
6/30/1998,004516,1859.649,0.078208
7/31/1998,004516,1810.473,-0.018464
8/31/1998,004516,1454.975,-0.181391
9/30/1998,004516,1588.2,0.088223
10/30/1998,004516,1639.6,0.03997
11/30/1998,004516,1757.1,0.075054
12/31/1998,004516,1942.1,0.119136
1/29/1999,004516,2076.5,0.07671
2/26/1999,004516,1977.2,-0.042362
3/31/1999,004516,2080.9,0.047922
4/30/1999,004516,2027.8,-0.025903
5/28/1999,004516,1916.5,-0.052528
6/30/1999,004516,2066.3,0.079349
7/30/1999,004516,1953.3,-0.042697
8/31/1999,004516,1935.5,0.001677
9/30/1999,004516,1890.3,-0.005357
10/29/1999,004516,1986.1,0.081117
11/30/1999,004516,2088.2,0.066625
12/31/1999,004516,2435.8,0.181156
1/31/2000,004516,2316.1,-0.042286
2/29/2000,004516,2545.7,0.102314
3/31/2000,004516,2657.3,0.046133
4/28/2000,004516,2415.6,-0.090309
5/31/2000,004516,2206.5,-0.08418
6/30/2000,004516,2413.6,0.098574
7/31/2000,004516,2460.7,0.020773
8/31/2000,004516,2705.8,0.100622
9/29/2000,004516,2487.1,-0.08038
10/31/2000,004516,2293.1,-0.074839
11/30/2000,004516,1957.4,-0.14428
12/29/2000,004516,1996.8,0.029819
1/31/2001,004516,1957.7,-0.015196
2/28/2001,004516,1682.8,-0.130975
3/30/2001,004516,1473.9,-0.108272
4/30/2001,004516,1606.6,0.101991
5/31/2001,004516,1558.1,-0.020273
6/29/2001,004516,1487.1,-0.033288
7/31/2001,004516,1427.1,-0.027455
8/31/2001,004516,1291.1,-0.080383
9/28/2001,004516,1143.1,-0.095213
10/31/2001,004516,1147.7,0.018976
11/30/2001,004516,1223.5,0.079571
12/31/2001,004516,1187.7,-0.006903
1/31/2002,004516,1146.4,-0.018577
2/28/2002,004516,1092.9,-0.030287
3/28/2002,004516,1121,0.043503
4/30/2002,004516,1029.9,-0.058792
5/31/2002,004516,987.8,-0.020443
6/28/2002,004516,880.7,-0.089275
7/31/2002,004516,777.9,-0.081477
8/30/2002,004516,775.5,0.011088
9/30/2002,004516,684.2,-0.10281
10/31/2002,004516,724.5,0.066463
11/29/2002,004516,720.8,0.010029
12/31/2002,004516,662.6,-0.060993
1/31/2003,004516,634.6,-0.02568
2/28/2003,004516,611.5,-0.015504
3/31/2003,004516,607.2,0.011024
4/30/2003,004516,635.9,0.063084
5/30/2003,004516,649.1,0.03663
6/30/2003,004516,648.9,0.016254
7/31/2003,004516,658.8,0.031293
8/29/2003,004516,655.3,0.013486
9/30/2003,004516,632.1,-0.019295
10/31/2003,004516,666.7,0.07327
11/28/2003,004516,663,0.011378
12/31/2003,004516,666.5,0.0275
1/30/2004,004516,681.9,0.039538
2/27/2004,004516,676.6,0.010532
3/31/2004,004516,653.4,-0.011581
4/30/2004,004516,615.5,-0.038664
5/28/2004,004516,611.6,0.018282
6/30/2004,004516,611.8,0.019749
7/30/2004,004516,564.9,-0.058685
8/31/2004,004516,544.7,-0.014963
9/30/2004,004516,546.4,0.024051
10/29/2004,004516,542.9,0.012361
11/30/2004,004516,552.1,0.040904
12/31/2004,004516,562.2,0.048094
1/31/2005,004516,528.5,-0.039731
2/28/2005,004516,518.5,0.002331
3/31/2005,004516,497.5,-0.015698
4/29/2005,004516,477.3,-0.020083
5/31/2005,004516,492.1,0.051838
6/30/2005,004516,481.3,-0.001146
7/29/2005,004516,493.9,0.047619
8/31/2005,004516,471,-0.023549
9/30/2005,004516,463.9,0.007852
10/31/2005,004516,454.1,-0.001669
11/30/2005,004516,462.8,0.037904
12/30/2005,004516,452.3,0.005371
1/31/2006,004516,460.2,0.040598
2/28/2006,004516,450,-0.00462
3/31/2006,004516,445.4,0.009799
4/28/2006,004516,449,0.024004
5/31/2006,004516,421.9,-0.044888
6/30/2006,004516,412.2,-0.005222
7/31/2006,004516,398.7,-0.016273
8/31/2006,004516,401.4,0.027748
9/29/2006,004516,407.7,0.038422
10/31/2006,004516,413.7,0.0305
11/30/2006,004516,421.5,0.032994
12/29/2006,004516,415.4,0.002818
1/31/2007,004516,420.8,0.028103
2/28/2007,004516,412.6,-0.010023
3/30/2007,004516,412,0.012885
4/30/2007,004516,424.3,0.042254
5/31/2007,004516,435.4,0.039669
6/29/2007,004516,426.3,-0.011321
7/31/2007,004516,420.1,-0.004665
8/31/2007,004516,420.9,0.01193
9/28/2007,004516,441.5,0.056842
10/31/2007,004516,451.1,0.043028
11/30/2007,004516,434.9,-0.044691
12/31/2007,004516,434.8,0.005598
