Ticker,BM,PRC,SHROUT,Size
AAPL,0.016,250.42,15115823,3785304396
LLY,0.018,772,949316,732871952
NVDA,0.02,134.28999,24490000,3288761855
BKNG,0.045,4968.41992,33097,164439794.1
TJX,0.066,120.81,1124158,135809528
NFLX,0.075,891.32001,427458,381001868.8
V,0.08,316.04001,1729399,546559277.3
TSLA,0.083,403.84,3210060,1296350630
AVGO,0.091,231.84,4686000,1086402240
MSFT,0.091,421.5,7434881,3133802342
GE,0.092,166.78999,1082294,180515805.4
META,0.114,585.51001,2180001,1276412407
AMZN,0.132,219.39,10515011,2306888263
GEV,0.147,328.92999,275653,90670538.53
GOOGL,0.154,189.3,5843000,1106079900
BMY,0.167,56.56,2028177,114713691.1
GILD,0.184,92.37,1246266,115117590.4
CSCO,0.208,59.2,3982758,235779273.6
CI,0.504,276.14001,278153,76809172.2
JPM,0.546,239.71001,2815340,674865179.6
XOM,0.6,107.57,4395095,472780369.2
BRK.B,0.634,508.55,2160000,1098468000
PNC,0.674,192.85001,396783,76519605.52
VZ,0.752,39.99,4209626,168342943.7
WFC,0.871,70.24,3329491,233863447.8
CVS,0.993,44.89,1258408,56489935.12
C,1.628,70.39,1891265,133126143.4
FICO,0.009,1990.93005,24348,48475164.86
ISRG,0.089,521.96002,356179,185911198
MCK,0.335,569.90997,126940,72344371.59
PM,0.016,120.35,1554833,187124151.6
RCL,0.14,230.69,268875,62026773.75
